,aroon_Aroon Down,aroon_Aroon Up,bbands_close_Real Lower Band,bbands_close_Real Middle Band,bbands_close_Real Upper Band,cci_CCI,macd_close_MACD_Hist,obv_OBV,rsi_close_RSI,sma_close_100_SMA,sma_close_20_SMA,stoch_SlowD,stock_time_series_adjusted_adjusted_close,crudeoil_Open,dollar_Open,fedfund_Open,gold_Open,treasury_3 MO,treasury_10 YR
2013-01-31,16.0,96.0,66.2395,67.7617,69.28399999999999,66.1614,0.0344,10883824.0,66.2636,65.8461,67.7617,75.6801,119.2045,96.72,79.45,99.8,1677.0,0.07,2.02
2013-01-30,20.0,100.0,66.1428,67.6737,69.2047,96.9076,0.0744,11771722.0,69.1893,65.8049,67.6737,86.6602,119.4827,96.89,79.825,99.79,1664.1,0.07,2.03
2013-01-29,24.0,100.0,65.6989,67.4972,69.2956,118.1554,0.1048,13281146.0,74.3319,65.7621,67.4972,90.0958,119.9521,96.16,80.04,99.79,1656.0,0.07,2.03
2013-01-28,28.0,100.0,65.0454,67.2522,69.4591,114.595,0.1066,11919710.0,72.3531,65.7182,67.2522,88.7648,119.4653,95.18,80.02,99.795,1660.9,0.07,2.0
2013-01-25,32.0,100.0,64.715,67.0572,69.3995,137.1566,0.1188,14297009.0,73.8639,65.6739,67.0572,91.7433,119.6044,95.51,80.21,99.825,1669.4,0.08,1.98
2013-01-24,36.0,100.0,64.4761,66.8612,69.2464,144.9352,0.1105,13070151.0,71.2127,65.6335,66.8612,92.6603,118.9437,95.24,80.215,99.835,1686.4,0.08,1.88
2013-01-23,40.0,100.0,64.3186,66.6997,69.0809,172.5082,0.1173,9799110.0,70.9244,65.5965,66.6997,91.6509,118.8742,95.59,79.99,99.835,1694.3,0.08,1.86
2013-01-22,44.0,100.0,64.2938,66.5732,68.8527,174.8071,0.1135,8173868.0,70.2323,65.5604,66.5732,87.4859,118.7003,95.48,80.0,99.83,1688.2,0.08,1.86
2013-01-18,48.0,100.0,64.3403,66.4827,68.6252,127.2824,0.0996,5259016.0,67.8905,65.5252,66.4827,86.4778,118.1265,95.12,80.04,99.82,1689.3,0.08,1.87
2013-01-17,52.0,100.0,64.3469,66.3882,68.4296,111.0399,0.0945,1096369.0,66.442,65.4895,66.3882,89.2361,117.7875,94.3,80.0,99.835,1683.6,0.07,1.89
2013-01-16,56.0,100.0,64.3815,66.328,68.2745,68.6946,0.0907,-114978.0,63.1573,65.4607,66.328,93.4814,117.0659,93.87,79.945,99.84,1682.0,0.08,1.84
2013-01-15,60.0,100.0,64.3553,66.255,68.1547,66.6167,0.112,-114978.0,63.1573,65.436,66.255,92.7224,117.0659,94.45,79.72,99.835,1669.6,0.09,1.86
2013-01-14,64.0,96.0,64.2459,66.143,68.0401,73.2306,0.1294,-1179558.0,62.9312,65.4133,66.143,83.7883,117.0138,94.15,79.7,99.83,1664.7,0.08,1.89
2013-01-11,68.0,100.0,64.1901,66.043,67.8959,87.009,0.1427,-228432.0,63.6568,65.3911,66.043,73.4727,117.1181,94.77,80.015,99.83,1677.1,0.07,1.89
2013-01-10,72.0,100.0,64.2043,65.96,67.7157,90.2956,0.1398,-1353427.0,63.4612,65.3668,65.96,70.3845,117.0659,94.41,80.75,99.84,1660.5,0.06,1.91
2013-01-09,76.0,88.0,64.2335,65.876,67.5185,75.2199,0.1208,-2369438.0,60.2132,65.3384,65.876,78.98100000000002,116.214,94.32,80.88,99.825,1662.3,0.06,1.88
